Wiederaufnahme der Sitzungsperiode	Resumption of the session
Andererseits haben die Herren Gallagher und Poignant Vorstellungen entwickelt, die in vielen Fällen im Widerspruch zu den Maßnahmen stehen, die die GFP enthalten müsste.	In addition, Mr Gallagher and Mr Poignant have presented views in many cases contrary to the measures that the CFP should contain.
Anerkennenswert sind allerdings die Bemühungen, die sie a posteriori unternommen haben, um Kriterien in Einklang zu bringen, aber die Europäische Volkspartei glaubt, dass bei einigen grundlegenden Themen noch eindeutige Widersprüche bestehen.	We cannot fail to recognise the effort that has been made a posteriori to try to unify viewpoints, but the European People' s Party believes that in some fundamental areas there are still some clear contradictions.
Wir haben daher eine Reihe von Änderungsanträgen eingebracht, die vor allem den Eindruck beseitigen sollen, das Parlament habe keinen klaren Standpunkt in Bezug auf die Zukunft der GFP, denn das ist nicht wahr.	We have therefore tabled a series of amendments above all to try to eliminate the impression that Parliament does not have a definite attitude towards the future of the CFP, because that is not the case.
Es kann sein, dass wir über konkrete Maßnahmen uneins sind, aber was sich aus diesen Berichten auf jeden Fall ableiten lässt, ist die Tatsache, dass das Parlament mit dem Fischereisektor völlig darin übereinstimmt, dass die GFP grundlegend geändert werden muss.	It may be that we do not agree on specific measures, but if something comes out of these reports it is that Parliament is in total agreement with the fisheries sector in that the CFP requires some fundamental changes.
Deshalb bitte ich um die Annahme unserer Änderungsanträge, weil sie, weit entfernt davon, erneut unfruchtbare Debatten anzufachen, dieses Streben nach Veränderung und die Notwendigkeit einer tiefgehenden Reflexion über die Fischereipolitik mit Blick auf die Zukunft und nicht auf die Vergangenheit widerspiegeln.	I therefore ask for our amendments to be approved, because far from entering yet again into sterile discussions they reflect this desire for change and the need for careful thinking about the fisheries policy, with our sights set on the future and not the past.
Wenn diese Notwendigkeit nicht offensichtlich wäre, hätte der Ministerrat im Dezember den klaren Kurs bereits verlassen.	If there were no clear need for this, the Council of Ministers last month would have given some indication that this were the case.
So kann es nicht weitergehen.	Things cannot go on like this.
Die grundlegenden Fehler, die der GFP seit ihren Anfängen anhaften, muss der Sektor am Ende eines jeden Jahres mit einer Reihe von immer brutaleren Beschneidungen seiner Tätigkeit bezahlen.	The fundamental flaws that have encumbered the CFP since the beginning have to be paid for by the industry at the end of every year with a series of increasingly brutal cuts to its operations.
Angesichts der in diesem Jahr erreichten extremen Situation muss man sich fragen, welcher Wirtschaftsbereich in der Lage wäre, bei diesen Spielregeln zu überleben.	When you come to the extremes that have been reached this year, you have to wonder what economic sector could survive with these rules of play.
Wenn immer weniger Mittel vorhanden sind, dann deshalb, weil eine Reihe von miteinander verketteten Fehlern in der Politik zur Regulierung der Fischereitätigkeit dies nicht nur zulassen, sondern sogar der Grund dafür sind.	If resource levels are getting worse and worse, it is because a sequence of failures in the policy that governs fishing not only allows it to happen but actually causes it.
Ein auf eine Reihe von überlebten, widersprüchlichen und häufig unverständlichen Vorschriften reduzierter Sektor kann nur eine sehr beschränkte Verantwortung für den gegenwärtigen Zustand haben, und trotzdem muss er allein die Konsequenzen tragen.	A sector constrained by a series of outdated, contradictory and often incomprehensible rules can only have very limited responsibility in this state of things, and yet it alone has to pay the price.
Die GFP benötigt eine tiefgreifende Erneuerung, die Lösungen für eine Fischereiindustrie schafft, welche es entgegen den für sie geltenden Vorschriften, ja trotz dieser Vorschriften verstanden hat zu überleben und die alles getan hat, um sich zu entwickeln und den Küstenregionen weiterhin Wohlstand und Beschäftigung zu bieten.	The CFP is in need of very far-reaching changes that will provide solutions for a fishing industry which, unlike the rules which govern it and even despite them, has managed to survive and has done everything it can to evolve and continue to provide coastal regions with wealth and jobs.
Deshalb wiederhole ich, dass uns die Kommission nicht ernsthaft einen Entwurf des Grünbuchs, wie den von ihr erarbeiteten, vorschlagen kann, betrachtet man die offenkundige Unzufriedenheit mit der Ressourcenpolitik, deren brillante Ergebnisse wir gerade auf dem Rat vom Dezember gesehen haben, die Unwilligkeit über ein TAC-System, das die Rückwürfe fördert, die Tatsache, dass solche Themen wie die relative Stabilität und die Freiheit des Zugangs zu lösen sind, gar nicht zu reden davon, dass die einzige Gemeinschaftspolitik, in der immer noch Diskriminierungen aufgrund der Staatszugehörigkeit existieren, an die Verträge angepasst werden muss.	That is why I must again stress that, when there is evident dissatisfaction with the resources policy, the brilliant results of which we have just seen yet again at December' s Council meeting, with a TAC system that encourages discards, when issues such as relative stability and freedom of access have yet to be resolved, not to mention the matter of bringing the only Community policy that still discriminates on grounds of nationality into line with the Treaties, the Commission cannot seriously propose a draft Green Paper like the one it has drawn up.
Wenn die Kommission wirklich glaubt, dass die Zukunft der europäischen Fischerei nicht einmal mehr über die einfache Änderung einer Verordnung, sondern über den Vorschlag von Maßnahmen führt, die bereits in den derzeitigen Verordnungen enthalten sind, wenn der große Vorschlag und die große Entdeckung der Kommission für die künftige GFP in den Mehrjahres-TACs und in der Förderung der Aquakultur bestehen, dann ist vielleicht der Zeitpunkt gekommen, Herr Präsident, mit aller Ernsthaftigkeit zu fordern, dass man anderen Personen Platz macht, die neue Ideen und ein Minimum an Verantwortungsgefühl einbringen können.	If the Commission really believes that the future of European fisheries depends not on the simple modification of a regulation, but on the proposal of measures already contained in current regulations, if the Commission' s great proposal and great discovery for the future CFP is to be multiannual TACs and the encouragement of aquaculture, perhaps the moment has come, Mr President, to ask in all seriousness for it to make room for other people who can bring in new ideas and the tiniest sense of responsibility.
Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen! Ich möchte hier ganz kurz und zusammengefasst drei Überlegungen zur in Aussicht gestellten Revision der Gemeinsamen Fischereipolitik vortragen.	Mr President, Commissioner, ladies and gentlemen, I should like, very briefly and concisely, to make three observations on the planned revision of the common fisheries policy.
Punkt eins: der Zugang zu den Binnengewässern und -beständen.	My first point concerns access to waters and to internal resources.
Die Europäische Union muss der Fortführung der traditionellen Tätigkeiten jeder Fischereigemeinschaft Beachtung schenken.	Maintaining the traditional activities of every fishing community should be one of the European Union' s main concerns.
Daher erscheint es mir vor allem wichtig zu sein, zumindest das Schongebiet für den Zugang zum so genannten Hoheitsgewässer zu bewahren, vor allem wenn man bedenkt, dass ja die Tätigkeit der kleinen Fischerei ihre Hauptgrundlage in den Küstenbeständen des jeweiligen Mitgliedstaates hat.	I therefore feel that it is crucial to at least preserve exclusive access to so-called "territorial waters" , particularly given that activities involving small-scale fishing have a considerable effect on the coastal resources of every Member State.
Punkt zwei: der Grundsatz der relativen Stabilität und die umfassende Nutzung der außerhalb der Gemeinschaftsgewässer gewährten Fangmöglichkeiten.	My second point relates to the principle of relative stability and the full use of fishing rights obtained outside Community waters.
Der Grundsatz der relativen Stabilität ist ein Eckpfeiler der Gemeinsamen Fischereipolitik.	The principle of relative stability is a fundamental pillar of the common fisheries policy.
Die Anwendung dieses Grundsatzes auf Fischereiquoten, die von der Union durch Finanzpartner sowohl bei Abkommen mit Drittstaaten als auch für Gewässer erzielt werden, die von regionalen Fischereiorganisationen bewirtschaftet werden, kann zu bizarren Situationen führen.	However, the application of this principle to fishing quotas obtained by the European Union through financial compensation, either in agreements with third countries or in waters governed by regional fishing organisations, may lead to perverse situations.
Ein Beispiel: Die Gemeinschaft schöpft die Quoten, die sie mühevoll für die Gewässer einiger Drittländer erwirbt, nicht voll aus, obwohl es Mitgliedstaaten gibt, die an ihrer Nutzung interessiert sind.	For example, the Community is not taking full advantage of the quotas that it obtained with such difficulty in the waters of some third countries, even though there are Member States keen to use them.
Während in den Abkommen mit "Staaten des Südens " vorgesehen ist, dass nach Nutzung der entsprechenden Fischereimöglichkeiten durch die Mitgliedstaaten der nicht genutzte Anteil interessierten Mitgliedstaaten zur Verfügung steht, kommt dieses System in den Abkommen mit den "nördlichen Staaten " nicht zur Anwendung.	Therefore, although the so-called agreements "with southern countries" lay down that once Member States have made use of their respective fishing rights, the unused part should be made available to all interested Member States, this mechanism is not implemented under the so-called agreements "with northern countries" .
Die Europäische Union schöpft die Hochsee-Fischereiquoten, die sie im Rahmen regionaler Fischereiorganisationen erhält, nicht voll aus, obwohl es Mitgliedstaaten gibt, die daran interessiert sind, die von den - um bei dem Ausdruck zu bleiben - "Meistbietenden " nicht gefangenen Mengen zu fischen.	The European Union is not making full use of the fishing quotas for the open sea that it has obtained through regional fishing organisations, even though there are Member States that are keen to take over the quantities that are not caught by the "highest bidders" , as they are called.
So findet man sich bei einer Revision der Quoten, die den Vertragspartnern zugeteilt werden, damit ab, dass ihre Position geschmälert wird.	They are thus exposing themselves to the risk that their share will be reduced once a review of quotas allocated to the parties involved takes place.
Punkt drei: die Rolle der Europäischen Union auf der internationalen Bühne.	My third point relates to the role of the European Union on the international stage.
Da die Union in ihrer Gesamtheit im Weltmaßstab eine Fischereimacht ist, muss sie in internationalen Organisationen und speziell in den regionalen Fischereiorganisationen eine ihrem Rang entsprechende Rolle einfordern und übernehmen.	Since the Union as a whole is a world-class fishing power and one of the largest markets for fish produce, it must claim and adopt a role that matches its importance in international organisations and specifically in regional fishing organisations.
Ich danke dem Herrn Kommissar sehr für seinen Redebeitrag und bitte ihn, in den Verhandlungen mit Marokko nicht nur als Anwalt Portugals und Spaniens aufzutreten, sondern die Kraft der fünfzehn Mitgliedstaaten einzusetzen.	I am very grateful for the Commissioner' s speech and I urge him to use the power of all 15 Member States in negotiations with Morocco and not simply to argue the case for Portugal and Spain.
Herr Präsident, wie viele meiner Vorredner bereits feststellten, ist es der Gemeinsamen Fischereipolitik nicht gelungen, ein Niveau der Fischbestände zu sichern, das das Überleben der Fischereiwirtschaft ermöglicht.	Mr President, the common fisheries policy, as many have pointed out, has failed to conserve fish stocks at adequate levels to support a viable industry.
Das ist zumindest teilweise auf den widersprüchlichen Charakter einiger der in der Verordnung 3760/92 verankerten Ziele der GFP zurückzuführen.	This is due, at least in part, to the conflicting nature of some of the objectives of the CFP as laid down in Regulation 3760/92.
Es ist unmöglich, die Bestände zu erhalten und gleichzeitig den Markt und die Fischereiwirtschaft zufrieden zu stellen.	It is impossible to simultaneously satisfy both the market and industry while conserving resources.
Bei der Revision der GFP im nächsten Jahr ist dem Ziel der Erhaltung der Fischbestände und des Schutzes der Meeresumwelt oberste Priorität einzuräumen. Das ist jedoch nur möglich, wenn sich in der Seefischereiverwaltung ein sehr strenger und umfassend vorbeugender Ansatz durchsetzt.	When the CFP is revised next year it is essential that the conservation of fish stocks and the protection of the marine habitat be made its primary and overriding objective, and the only way to do this is to implement a rigorous and comprehensive precautionary approach to fisheries management.
Ein solcher Ansatz bedeutet, dass erst dann mit der kommerziellen Abfischung eines Bestandes begonnen werden kann, wenn zumindest eine wissenschaftliche Bewertung des betreffenden Bestandes vorgenommen und eine auf vorsichtigen Schätzungen beruhende zulässige Gesamtfangmenge festgelegt wurde.	The precautionary approach should mean that before any stock can be fished on a commercial basis there must be, at the very least, a scientific assessment of the stock and a conservatively-based total allowable catch.
Anders ausgedrückt, wäre eine Plünderung bestimmter Fischarten, bestimmter in großen Tiefen lebender Bestände durch einige EU-Länder dadurch nicht mehr möglich.	In other words, the current pillage of certain types, certain deep-water stocks by some EU countries would not be allowed to happen.
Das bedeutet, dass neue Fischfanggeräte oder wesentliche Veränderungen an vorhandenen Geräten auf ihre potentiellen Auswirkungen auf die Zielart und die als Beifang gefischten Arten sowie auf ihre Auswirkungen auf die Meeresumwelt geprüft werden müssen.	It means that any new fishing gear or any significant modification of existing gear must be evaluated for its potential impact on the target stock as well as any species caught as by-catch or any impact on the marine habitat.
Das bedeutet, dass bei der Festlegung der zu erhaltenden Größe eines Fischbestands zurückhaltend vorgegangen würde.	It means being conservative when one decides the level at which one wants to maintain a fish stock.
Die Verwendung des Konzepts der nachhaltigen Höchsterträge oder anderer Bezugspunkte ist schlichtweg falsch, weil sie eine Überfischung und den Kollaps der Bestände zur Folge haben.	The use of maximum sustainable yield or any of a number of other reference points is quite simply wrong, for they lead to over-fishing and stock collapse.
Durch die vorzugebenden Fangmengen und Grenzwerte ist zu gewährleisten, dass die Fischbestände auf einem Niveau erhalten werden, auf dem keine signifikante Gefahr der Verknappung oder des Kollapses der Bestände droht.	Targets and limited reference points must be established which will maintain the fish stock at a high enough level that the risk of stock depletion or collapse is insignificant.
Die bisher beste Definition des vorbeugenden Ansatzes ist im UN-Übereinkommen über Fischbestände zu finden, in dem auch zahlreiche andere Grundsätze definiert sind.	The best definition to date of the precautionary approach is the one contained in the UN fish stocks agreement, and many of these and other principles are defined there.
Die EU hat diese Überlegungen für einige Bestände akzeptiert, und es ist meiner Meinung nach höchste Zeit, dass sie diese für die eigenen Bestände umsetzt.	The EU has accepted these ideas for some stocks and I think it is high time that it implemented them for its own stocks.
Auf Marokko wurde bereits verschiedentlich eingegangen, und ich möchte dem nur hinzufügen, dass unserer Ansicht nach niemand außer Marokko als Küstenstaat mit Souveränität über seine Fischbestände und seine exklusive Wirtschaftszone über die Nutzung dieser Ressourcen entscheiden kann.	A number of things have been said already about Morocco and I just want to say that we would insist that it is entirely up to Morocco, as a coastal state with sovereignty over its fish and its exclusive economic zone, to decide what it wishes to do with these resources.
Deshalb lehnen wir jede Art von politischem oder wirtschaftlichem Druck auf Marokko ab, mit dem das Land überzeugt oder genötigt werden soll, ein Abkommen mit der Europäischen Union zu unterzeichnen.	We are therefore opposed to any kind of political or economic pressure being brought to bear on Morocco in order to encourage it or to coerce it to sign an agreement with the European Union.
Zweitens bestehen wir darauf, dass der Zugang zu den Gewässern der Westsahara in jedem Falle von einem potentiellen Abkommen mit Marokko ausgenommen wird.	Secondly, we are adamant that no potential agreement with Morocco should involve any access to waters of Western Sahara.
Wir erkennen die marokkanische Souveränität in diesem Gebiet nicht an, und Marokko ist demzufolge nicht berechtigt, Gespräche über die Zugänglichkeit dieses Gebiets für EU-Fischereifahrzeuge zu führen. Ebenso wenig ist die EU berechtigt, derartige Verhandlungen mit Marokko aufzunehmen oder Fischereifahrzeugen, die die EU-Flagge führen, wie in der Vergangenheit geschehen, den Zugang zu diesem Gebiet zu gestatten.	We do not recognise Moroccan sovereignty there and so Morocco has no right whatsoever to discuss access to EU vessels there, nor for that matter has the EU any right to enter into such negotiations with Morocco or to allow EU flag vessels to go there as has happened in the past.
Herr Präsident! Die sozioökonomische Bedeutung des Fischereisektors - nicht nur für die direkte und indirekte Beschäftigung, die sie schafft, sondern auch für die wirtschaftliche Entwicklung vieler Fischereiregionen und -gemeinschaften, einschließlich der kleinen Küstenfischerei, die die Versorgung mit Frischfisch sicherstellt und die Traditionen und Kulturen der Europäischen Union bewahrt - ist bekannt.	Mr President, the socio-economic importance of the fishing industry is well known, not only for the jobs that it creates directly and indirectly, but also for the economic development of many fishing regions and communities, including the small coastal fishing sector that ensures the European Union' s supply of fresh fish and the preservation of its traditions and cultures.
Wie sich jedoch in den regionalen Seminaren bestätigt hat, wird die Gemeinsame Fischereipolitik heftig kritisiert, und zwar sowohl bezüglich des TAC-Systems als auch des Systems der mehrjährigen Ausrichtungsprogramme, die diskriminierend gewirkt haben, ohne dem Sektor größeren Nutzen zu bringen, da ja durchgesetzt wurde, dass die Mitgliedstaaten, die die Ziele erfüllt haben, nicht mit einer neuen Verringerung des Fischereiaufwandes bestraft werden, solange die übrigen Länder die in früheren MAP niedergelegten Ziele nicht erfüllt haben.	Nevertheless, as has been confirmed at regional conferences, there is profound criticism of the common fisheries policy, both with regard to the TAC system and quotas and with regard to the system of Multiannual Guidance Programmes, which have led to discrimination and have not brought any major benefits to the industry. This makes it essential that Member States which have achieved their objectives should not be penalised through further reductions of their fishing effort whilst other countries have not achieved the objectives laid down in previous MAGPs.
Es wurde außerdem deutlich, dass die Mehrheit der Berufsgruppen im Fischereisektor die wissenschaftlichen Gutachten zur Bewirtschaftung und Erhaltung der Fischereibestände anzweifeln, auch wenn sie die Notwendigkeit der Erhaltung der Arten einsehen.	It has also become clear that most of those working in the fishing industry harbour doubts about scientific opinions on the management and conservation of fish products, although they do not question the need to conserve species.
Deshalb ist eine Revision der Gemeinsamen Fischereipolitik unbedingt erforderlich. Dabei sollten die Fischer und andere Interessierte in den Entscheidungsfindungsprozess eingebunden werden, damit sie ihre Erfahrungen und Fähigkeiten für ein besser funktionierendes und realistischeres System einbringen können.	What is needed, therefore, is a thorough review of the common fisheries policy, involving fishermen and other interested parties in the decision-making process, to ensure that their experience and knowledge can contribute to the creation of a more workable and realistic system.
Gefragt sind strukturelle Maßnahmen, die das Überleben der von der Fischerei abhängigen Gemeinschaften sichern, sowie sozioökonomische Maßnahmen zur Verbesserung der Lebensbedingungen der Fischer, die durch etwaige Maßnahmen zum Schutz der Fischarten nicht benachteiligt werden dürfen, wie es ja bei den Sardinenfischern in Nordportugal geschehen ist.	We need appropriate structural measures to guarantee the survival of communities dependent on fishing and socio-economic measures that improve the standard of living of fishermen, who must not suffer as a result of possible measures to protect species, as has happened to the sardine fishermen in the north of Portugal.
Ebenso kommt es darauf an, den besonderen Charakter der Regionen in äußerster Randlage zu berücksichtigen. Ganz besonders wichtig ist auch, wie im Bericht Gallagher bekräftigt wird, dass man die Ausschließliche Wirtschaftszone auf 24 Meilen ausdehnt, was ja auch bereits früher im Parlament beschlossen wurde.	We must also take account of the specific nature of the outermost regions and it is particularly important, as the Gallagher report states, that we move towards extending the exclusion zone to 24 miles, which is, in fact, something on which Parliament has already taken a decision.
Zu den jetzt laufenden Verhandlungen in der Welthandelsorganisation sei - wie im Bericht Varela Suanzes­Carpegna geschehen - darauf hingewiesen, dass die Überprüfung der Fischerei der Gemeinschaft nicht nur aus der rein ökonomischen Sicht des Warenaustauschs erfolgen darf.	With regard to current negotiations in the World Trade Organisation, it must be emphasised, as it is in the Varela Suanzes­Carpegna report, that Community fishing activity cannot be analysed from a purely economic angle based on trade in goods.
Die Fischerei in der Europäischen Union ist multifunktional. Sie trägt zur Festigung des sozialen und wirtschaftlichen Gefüges der Küstengebiete bei, sie ist Lebensstil und ein Faktor des Zusammenhalts in weiten Küstengebieten und eine Gewähr für die Versorgung mit Nahrungsgütern.	Fishing in the European Union is multifunctional in nature; it contributes towards the integration of the social and economic fabric of coastal areas, representing a way of life and a factor for cohesion in large areas along our coastline, while at the same time guaranteeing food supply.
Herr Präsident! Ich möchte noch etwas zu den internationalen Fischereiabkommen sagen, die bei der Versorgung des europäischen Marktes durch die europäische Flotte eine maßgebende Rolle spielen.	I also wish, Mr President, to mention international fishing agreements, which have a fundamental role in supplying the European market by means of the European fishing fleet.
Die Informationen, die uns hier erreichen, sind jedoch äußerst besorgniserregend, nicht nur die Verzögerung bei den Fischereiabkommen mit Angola, sondern auch die Schwierigkeiten bei der Erneuerung des Fischereiabkommens mit Marokko.	What is of particular concern, however, is the information that we have received not only on the delay in the fishing agreements with Angola, but also on the difficulties in renewing the fishing agreement with Morocco. We need more than just a rehashed explanation.
Es bedarf nicht nur einer Erklärung, die bereits gegeben wurde, sondern es bedarf Maßnahmen, die den Schutz der Fischer und die Rechte der davon betroffenen Reeder - wie in Portugal - gewährleisten.	What we need is the adoption of measures that will guarantee the protection of fishermen and the rights of shipowners who are caught up in this situation, as is currently happening in Portugal.
Herr Präsident! Im Jahr 2001 steht die Neugestaltung der Gemeinsamen Fischereipolitik durch die Kommission an.	Mr President, 2001 is the year in which the Commission is to draft a new common fisheries policy.
Die Kommission sollte unbedingt den Fischereisektor selbst ausdrücklich in die Vorbereitung ihrer Beschlüsse einbeziehen.	In my view, it is of utmost importance that the Commission should actively involve the fisheries industry itself in the preparatory activities leading up to its decisions.
Bei der Umsetzung der Forschungsergebnisse in Maßnahmen zur Beschränkung des Fischfangs darf sie nicht nur Wissenschaftler, sondern muss sie auch die Fischer kontaktieren, denn sonst stößt die Auferlegung der total allowed catches sowie der Quoten auf ihren Widerstand, was sich vermeiden ließe.	When translating research results into catch restrictions, the Commission should not only take the advice of scientists, but also the fishermen. If not, imposing total allowed catches and quotas will meet with unnecessary resistance from them.
Die Fischer, jedenfalls in den Niederlanden, anerkennen den Nutzen von Fangbeschränkungen, sofern sie hinreichend begründet sind.	Fishermen, especially in the Netherlands, recognise the benefit of catch restrictions, provided there is a good reason for them.
Ein negatives Beispiel ist die jüngste Fangbeschränkung für niederländische Schollen- und Seezungenfischer, die sie 35 Mio. Euro kosten wird.	A bad example is the recent catch restriction imposed on Dutch fishermen for plaice and sole, which will set them back EUR 35 million.
Eine Beschränkung, die dem Rat der Fischereiminister zufolge notwendig ist, um Kabeljau zu schützen, während Biologen behaupten, eine solche Empfehlung sei nie gegeben worden und es handele sich dabei um eine politische Entscheidung.	This is a restriction which, according to the European Fisheries Council, is required in order to protect cod, whilst biologists claim that such recommendations were never made and that this was a political decision.
Die europäischen Fischer sind in ganz unterschiedlichen Gewässern tätig.	European fishermen are active in very different waters.
Deshalb bedarf es eines regionalen Ansatzes gemäß dem in der Europäischen Union geltenden Subsidiaritätsprinzip.	This requires a regional approach which is entirely in compliance with the European Union' s principle of subsidiarity.
Im vorliegenden Fall müssen also die Niederlande gemeinsam mit anderen Nordseeländern die für die Nordsee zu befolgende Politik festlegen.	That means that in the case of the Netherlands, it will develop the policy for the North Sea in conjunction with other North Sea countries.
Diese Länder entscheiden darüber, ob in dem sensiblen System Nordsee Schiffe aus anderen Regionen verkehren dürfen.	These countries will decide whether the fragile system of the North Sea can accommodate ships from other regions.
Wenn die Union den Zugang anderer Schiffe zur Nordsee durchsetzt, stellt die Quotierung noch nicht regulierter Fischarten eine reale Möglichkeit dar, Beifänge von quotiertem Fisch zu begrenzen.	If the Union insists on other ships having access to the North Sea, the quoting of as yet unquoted fish species would be a real way of keeping additional catches of quoted fish within limits.
Abschließend möchte ich mich der Forderung des Berichterstatters, Herrn Gallagher, nach einer Kosten-Nutzen-Analyse der Fischereiabkommen mit Drittländern anschließen.	Finally, I would echo rapporteur Gallagher in his request for a cost-benefit analysis of fisheries agreements which the Commission concludes with third countries.
Ziehen denn alle Mitgliedstaaten einen angemessenen Nutzen aus den dafür ausgegebenen Gemeinschaftsgeldern?	Do all Member States benefit proportionately from spending Community funding in this way?
Das möchte ich doch stark bezweifeln.	I doubt it very much.
Herr Präsident, wenn wir die ausgezeichneten Berichte meiner Kollegen, der Herren Varela, Cunha, Poignant und Gallagher, diskutieren, dann geschieht dies vor dem Hintergrund der Krise im Fischereisektor der EU.	Mr President, when we discuss the excellent reports by my colleagues Mr Varela, Mr Cunha, Mr Poignant and Mr Gallagher, it is against a background of crisis in the EU fisheries sector.
Wenn wir hinsichtlich der GFP über radikale Reformen nachdenken, die eindeutig notwendig und längst überfällig sind und die in diesen Berichten angesprochen werden, dann tun wir das in dem Wissen, dass die Fischbestände drastisch zurückgehen.	As we contemplate the radical reforms of the CFP, which are clearly necessary and long overdue and which are highlighted in these reports, we do so in the knowledge that fish stocks are in spiral decline.
Zu viele Fischer versuchen, dieselben Fischarten zu fangen.	Too many fishermen are chasing too few fish.
Das hat zur Folge, dass die Fischfangflotten der EU schrumpfen und Tausende von Arbeitsplätzen auf See und an Land verloren gehen.	As a result, EU fishing fleets are shrinking and many thousands of jobs are being lost at sea and on shore.
Die Situation in der Nordsee ist besonders besorgniserregend.	The situation in the North Sea is of particular concern.
Im Dezember kündigte der Rat eine drastische Reduzierung der zulässigen Gesamtfangmengen und Quoten an.	Savage cuts in the total allowable catches and quotas were announced in December by the Council.
Jetzt will die Kommission vorläufige Sofortmaßnahmen durchführen, damit sich die Kabeljaubestände erholen können, die in diesem Sektor bedrohlich abgesunken waren.	Now the Commission is seeking to implement emergency interim measures to aid the recovery of cod stocks, which have fallen to unsustainable levels in that sector.
So wie meine Kollegen, die anderen schottischen Abgeordneten des Europäischen Parlaments, bin auch ich Herrn Fischler sehr dankbar dafür, dass er zu dem heutigen Zusammentreffen mit uns bereit war, um diese drastischen Sofortmaßnahmen zu diskutieren.	I am extremely grateful, like my colleagues, the other Scottish MEPs, to Commissioner Fischler for agreeing to meet us earlier this evening to discuss these dramatic emergency measures.
Wir begrüßen Herrn Fischlers großzügiges Angebot, mit führenden Vertretern der Branche zusammenzutreffen, um Alternativen zu den drakonischen Maßnahmen zu diskutieren, die die GD Fischerei in den letzten Tagen bekannt gegeben hat.	We welcome Mr Fischler's generous offer to meet with leaders of the industry to discuss alternatives to the draconian proposals which have been widely publicised by the Fisheries DG in the last few days.
Ein vernünftiger mehrjähriger Plan zur Erholung der Kabeljaubestände, der realistische technische Erhaltungsmaßnahmen, die Schließung von Kabeljau-Laichplätzen und die Außerbetriebnahme der neuen großen Fischereifahrzeuge umfasst, ist zweifellos sinnvoller als ein Plan, der die Fortsetzung der industriemäßigen Fischerei in riesigen Sperrgebieten gestattet und der unter Umständen die Hälfte der schottischen Flotte in den Ruin treibt.	A sensible, multiannual cod recovery plan embracing realistic technical conservation measures, the closure of cod spawning grounds and the decommissioning of the larger new fishing vessels will surely be more sensible than the pursuit of a plan which would allow industrial fishing to continue in vast restricted zones and which would potentially lead to the bankruptcy of half the Scottish fleet.
Zu den Berichten Poignant und Gallagher wurden einige Änderungsanträge eingereicht, die die Abschaffung der 6/12-Meilenzonen und die Öffnung der "Shetland-Box " sowie freien Zugang zur Nordsee fordern.	The Poignant and Gallagher reports have attracted some amendments, which seek to do away with the 6/12 mile limits and break open the Shetland Box and gain free access to the North Sea.
Es gibt offenbar noch immer Mitgliedstaaten, die die Ressourcen der Nordsee als reiche Beute betrachten.	Clearly there are some Member States that still regard the resources of the North Sea as a rich prize.
Ich hoffe, dass sie diese Debatte zur Besinnung bringt.	I hope that this debate may bring them to their senses.
Herr Präsident, wie soll und wird die gemeinsame Fischereipolitik der Europäischen Union nach 2002 aussehen?	Mr President, how should and how will the European Union's common fisheries policy look after 2002?
Dies bewegt die Gemüter derjenigen, die sich mit Fischerei beschäftigen, bereits seit geraumer Zeit.	This question has stirred the emotions of everyone involved in fisheries for some time now.
Die Berichte Poignant und Gallagher sind wichtige Meilensteine in der Vorbereitungsdiskussion.	The Poignant and Gallagher reports are important milestones in the preliminary debate.
Die eigentliche Reformdiskussion wird allerdings erst nach Vorlage des Grünbuchs der Kommission in den nächsten Monaten beginnen. Dennoch ist es verständlich, dass die Vertreter der sehr unterschiedlichen Fischereiinteressen in der Europäischen Union bereits jetzt versuchen, den Vorbereitungsprozess innerhalb der Kommission zu beeinflussen.	The actual debate on reform will, however, not start until the Commission's Green Paper has been submitted within the next few months although, quite understandably, representatives of highly disparate fisheries interests in the European Union are already trying to influence the preparatory process within the Commission.
Es wurden so manche Forderungen an die Kommission gestellt.	A great many demands have been made on the Commission.
Derzeit, meine ich, ist es aber zu früh, dass sich das Europäische Parlament eindeutig festlegt.	I think it is still too early for the European Parliament to commit itself one way or another.
Wir sollten uns im Rahmen dieser beiden Berichte darauf beschränken, die Probleme anzusprechen und verschiedene Lösungswege zu diskutieren.	We should confine ourselves, within the framework of these two reports, to addressing the problems and discussing various possible solutions.
Beide Berichterstatter haben viel Arbeit investiert und die wesentlichen Probleme der gemeinsamen Fischereipolitik herausgearbeitet. Dafür möchte ich ihnen herzlich danken.	Both rapporteurs have done a great deal of work and have highlighted the basic problems of the common fisheries policy and I am grateful to them for that.
Ich möchte nur drei herausgreifen.	I should like to single out just three of these basic problems.
Zum ersten die problematische Frage des Zugangs zu Gewässern, die im Rahmen der Reform zumindest erneut geprüft werden sollte.	First, the problem of access to waters, which should at least be re-examined as part of the reform.
Grundlage der Festlegung von Schutzzonen müssen wissenschaftliche Analysen sein, aus deren Ergebnissen dann die entsprechenden Konsequenzen gezogen werden müssen.	Protection zones must be defined on the basis of scientific studies and the relevant conclusions must be drawn from their results.
Zweitens: Die Regionalisierung ist ein weiteres Schlagwort, das immer wieder kontroverse Diskussionen hervorruft.	Secondly: regionalisation is another catchword which repeatedly gives rise to controversial debate.
Dabei handelt es sich hier nicht etwa um eine wie auch immer geartete Renationalisierung.	But regionalisation does not mean some form of renationalisation.
